comp_id,name,mw,smiles,total_atoms
THEO_0518317,7440-55-3,68.93,[Ga],1
THEO_0329516,Potassium Cation,38.96,[K+],1
THEO_0367804,7440-01-9,19.99,[Ne],1
THEO_0194045,7440-04-2,191.96,[Os],1
THEO_0563268,Sulfur Dioxide,63.96,O=S=O,3
THEO_0800647,Selenium,79.92,[Se],1
THEO_0532424,selanylideneselane,159.83,[Se]=[Se],2
THEO_0464620,7440-18-8,101.9,[Ru],1
THEO_0732827,7440-22-4,106.91,[Ag],1
THEO_0051187,7440-58-6,179.95,[Hf],1
THEO_0007323,SELENIUM DIOXIDE,111.91,O=[Se]=O,3
THEO_0755507,Lead(2+),207.98,[Pb+2],1
THEO_0819437,iodane,131.91,[131IH],2
THEO_0633133,trisulfur,95.92,S=S=S,3
THEO_0768339,TELLURIUM DIOXIDE,161.9,O=[Te]=O,3
THEO_0563615,7440-62-2,50.94,[V],1
THEO_0194222,Oxygen,31.99,O=O,2
THEO_0558714,Xenon-133,132.91,[133Xe],1
THEO_0269165,ZINC OXIDE,79.92,O=[Zn],2
THEO_0803461,Zinc(2+),63.93,[Zn+2],1
THEO_0529942,7440-40-6,247.07,[Bk],1
THEO_0303461,7440-06-4,194.96,[Pt],1
THEO_0463849,7440-36-0,120.9,[Sb],1
THEO_0904068,Altaite,337.88,[Te].[Pb],2
THEO_0161895,,41.98,[CaH2],3
THEO_0436297,Carbon Monoxide,27.99,[C-]#[O+],2
THEO_0246067,Antimony cation (5+),120.9,[Sb+5],1
THEO_0316645,Ferrous cation,55.93,[Fe+2],1
THEO_0752053,Cobalt(2+),58.93,[Co+2],1
THEO_0416577,7439-98-7,97.91,[Mo],1
THEO_0289585,Lead,207.98,[Pb],1
THEO_1073490,Fluoride,19.0,[F-],1
THEO_0905416,Pine alcohol,41.99,[F-].[Na+],2
THEO_1046994,Iodide,126.9,[I-],1
THEO_1071270,Potassium hydroxide (KOH),55.97,[OH-].[K+],3
THEO_0865155,lime,55.96,[Ca+2].[O-2],2
