before,after,count
CC BY 4.0,CC BY-NC 4.0,100403
CC0,CC BY-NC 4.0,2819
CC BY 4.0,Unspecified,2694
CC BY-NC 4.0,Unspecified,1872
CC0,CC BY 4.0,890
CC0,Unspecified,91
