pre_resolver,pre_npatlas,current,count
CC BY 4.0,CC BY 4.0,CC BY 4.0,891036
CC BY-NC 4.0,CC BY-NC 4.0,CC BY-NC 4.0,122446
CC BY 4.0,CC BY-NC 4.0,CC BY-NC 4.0,94206
CC0,CC0,CC0,8244
CC BY 4.0,CC BY 4.0,CC BY-NC 4.0,6197
CC0,CC BY-NC 4.0,CC BY-NC 4.0,2815
CC BY 4.0,Unspecified,Unspecified,2694
Unspecified,Unspecified,Unspecified,2509
CC BY-NC 4.0,Unspecified,Unspecified,1872
CC0,CC BY 4.0,CC BY 4.0,890
CC0,Unspecified,Unspecified,91
CC0,CC BY 4.0,CC BY-NC 4.0,4
