pre_fix,current,is_primary,count
CC BY-NC 4.0,CC BY-NC 4.0,f,16142
CC BY 4.0,CC BY-NC 4.0,t,4209
CC BY 4.0,CC BY-NC 4.0,f,1992
CC BY-NC 4.0,CC BY-NC 4.0,t,1133
Unspecified,Unspecified,f,340
Unspecified,Unspecified,t,171
